serie_id,hoja_destino,nombre_en_excel,proveedor,codigo_serie,url_api,frecuencia,prioridad,notas
UST_1Y,Treasury Yields,1 year,FRED_CSV,DGS1,,D,1,Tesoro EEUU 1 aﾃｱo - reemplaza Investing.com
UST_5Y,Treasury Yields,5 years,FRED_CSV,DGS5,,D,1,Tesoro EEUU 5 aﾃｱos
UST_10Y,Treasury Yields,10 years,FRED_CSV,DGS10,,D,1,Tesoro EEUU 10 aﾃｱos
UST_30Y,Treasury Yields,30 years,FRED_CSV,DGS30,,D,1,Tesoro EEUU 30 aﾃｱos
VIX,Mercados,VIX,FRED_CSV,VIXCLS,,D,1,CBOE VIX - cierre diario
DOLLAR_INDEX,Mercados,Dollar Index,FRED_CSV,DTWEXBGS,,D,1,OJO: indice amplio de la Fed - NO es el DXY de ICE
BRENT,Commodities,Petroleo Brent,FRED_CSV,DCOILBRENTEU,,D,1,Brent USD/barril
FX_BRL,Tipos de cambio,Brasil,FRED_CSV,DEXBZUS,,D,1,Reales por dolar
FX_MXN,Tipos de cambio,Mexico,FRED_CSV,DEXMXUS,,D,1,Pesos por dolar
FX_JPY,Tipos de cambio,Japon,FRED_CSV,DEXJPUS,,D,1,Yenes por dolar
WTI,Commodities,,FRED_CSV,DCOILWTICO,,D,,Petr様eo WTI
GAS_NATURAL,Commodities,,FRED_CSV,DHHNGSP,,D,,Gas natural Henry Hub
UST_3M,Treasury Yields,,FRED_CSV,DGS3MO,,D,,
UST_2Y,Treasury Yields,,FRED_CSV,DGS2,,D,,
UST_20Y,Treasury Yields,,FRED_CSV,DGS20,,D,,
FX_EUR,V地culos,,FRED_CSV,DEXUSEU,,D,,D様ares por euro
FX_GBP,V地culos,,FRED_CSV,DEXUSUK,,D,,D様ares por libra
FX_CNY,V地culos,,FRED_CSV,DEXCHUS,,D,,Yuanes por d様ar
FX_CAD,V地culos,,FRED_CSV,DEXCAUS,,D,,D様ares canadienses
